2025-04-22 16:45:53,087 - Project name: Compress, Project ID: 7, Result: Generated, failed
2025-04-22 16:45:53,120 - Project name: Compress, Project ID: 5, Result: Generated, failed
2025-04-22 16:45:53,120 - Project name: Compress, Project ID: 1, Result: Generated, failed
2025-04-22 16:45:53,219 - Project name: Compress, Project ID: 8, Result: Generated, failed
2025-04-22 16:45:53,310 - Project name: Compress, Project ID: 6, Result: Generated, failed
2025-04-22 16:55:52,323 - Project name: Compress, Project ID: 4, Result: Generated, failed
2025-04-22 16:56:03,467 - Project name: Compress, Project ID: 12, Result: Generated, failed
2025-04-22 16:56:18,397 - Project name: Compress, Project ID: 10, Result: Generated, failed
2025-04-22 17:05:52,555 - Project name: Compress, Project ID: 3, Result: Generated, failed
2025-04-22 17:06:02,277 - Project name: Compress, Project ID: 14, Result: Generated, failed
2025-04-22 17:06:03,855 - Project name: Compress, Project ID: 11, Result: Generated, failed
2025-04-22 17:06:04,318 - Project name: Compress, Project ID: 13, Result: Generated, failed
2025-04-22 17:16:03,440 - Project name: Compress, Project ID: 9, Result: Generated, failed
2025-04-22 17:16:17,068 - Project name: Compress, Project ID: 17, Result: Generated, failed
2025-04-22 17:16:27,864 - Project name: Compress, Project ID: 19, Result: Generated, failed
2025-04-22 17:16:28,617 - Project name: Compress, Project ID: 16, Result: Generated, failed
2025-04-22 17:25:53,165 - Project name: Compress, Project ID: 2, Result: Generated, failed
2025-04-22 17:26:13,231 - Project name: Compress, Project ID: 21, Result: Generated, failed
2025-04-22 17:26:52,682 - Project name: Compress, Project ID: 24, Result: Generated, failed
2025-04-22 17:36:18,212 - Project name: Compress, Project ID: 25, Result: Generated, failed
2025-04-22 17:36:22,840 - Project name: Compress, Project ID: 26, Result: Generated, failed
2025-04-22 17:37:16,896 - Project name: Compress, Project ID: 27, Result: Generated, failed
