TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jfree.data.time.TimeSeries,BRANCH,0.8546255506607929,227,196
org.jfree.data.time.TimeSeries,BRANCH,0.8237885462555066,227,187
org.jfree.data.time.TimeSeries,BRANCH,0.9383259911894273,227,213
org.jfree.data.time.TimeSeries,BRANCH,0.933920704845815,227,213
org.jfree.data.time.TimeSeries,BRANCH,0.9162995594713657,227,208
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,BRANCH,0.5,274,137
org.jfree.data.general.DatasetUtilities,BRANCH,0.799645390070922,564,452
org.jfree.data.time.TimeSeries,BRANCH,0.8898678414096917,227,202
org.jfree.chart.plot.XYPlot,BRANCH,0.561631139944393,1079,608
org.jfree.data.xy.XYSeries,BRANCH,1.0,103,103
org.jfree.chart.util.ShapeList,BRANCH,0.6190476190476191,21,13
org.jfree.data.time.TimePeriodValues,BRANCH,1.0,74,74
org.jfree.data.time.Week,BRANCH,0.8674698795180723,83,72
org.jfree.data.time.TimeSeries,BRANCH,0.950920245398773,163,155
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,BRANCH,1.0,2,2
org.jfree.chart.util.ShapeUtilities,BRANCH,0.991869918699187,123,122
org.jfree.chart.plot.MultiplePiePlot,BRANCH,0.9375,96,90
org.jfree.chart.block.BorderArrangement,BRANCH,0.7459016393442623,122,93
org.jfree.chart.plot.CategoryPlot,BRANCH,0.5550906555090656,717,398
org.jfree.chart.plot.XYPlot,BRANCH,0.5822368421052632,912,531
org.jfree.chart.plot.PiePlot,BRANCH,0.5969387755102041,392,234
org.jfree.data.category.DefaultIntervalCategoryDataset,BRANCH,0.9197080291970803,137,126
org.jfree.data.time.TimeSeries,BRANCH,0.968944099378882,161,156
org.jfree.data.DefaultKeyedValues,BRANCH,0.9838709677419355,62,61
org.jfree.data.DefaultKeyedValues2D,BRANCH,0.968421052631579,95,92
org.jfree.chart.plot.CategoryPlot,BRANCH,0.5878877400295421,677,398
org.jfree.chart.plot.ValueMarker,BRANCH,0.9230769230769231,13,12
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,BRANCH,0.7676767676767676,99,76
org.jfree.data.KeyedObjects2D,BRANCH,0.9425287356321839,87,82
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,BRANCH,0.4520547945205479,73,33
org.jfree.chart.renderer.GrayPaintScale,BRANCH,1.0,15,15
org.jfree.chart.renderer.category.StatisticalBarRenderer,BRANCH,0.24742268041237114,97,24
org.jfree.chart.axis.Axis,BRANCH,0.8372093023255814,172,142
org.apache.commons.cli.CommandLine,BRANCH,1.0,32,32
org.apache.commons.cli.PosixParser,BRANCH,0.9333333333333333,45,42
org.apache.commons.cli.TypeHandler,BRANCH,0.967741935483871,31,27
org.apache.commons.cli.Parser,BRANCH,0.6756756756756757,74,50
org.apache.commons.cli.Util,BRANCH,1.0,11,11
org.apache.commons.cli2.builder.PatternBuilder,BRANCH,0.8503401360544217,147,125
org.apache.commons.cli.HelpFormatter,BRANCH,0.9185185185185185,135,124
org.apache.commons.cli.Parser,BRANCH,0.7662337662337663,77,59
org.apache.commons.cli.Parser,BRANCH,0.7922077922077922,77,61
org.apache.commons.cli.HelpFormatter,BRANCH,0.9130434782608695,138,126
org.apache.commons.cli.GnuParser,BRANCH,0.9047619047619048,21,19
org.apache.commons.cli2.WriteableCommandLine,BRANCH,1.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9642857142857143,56,54
org.apache.commons.cli2.option.ArgumentImpl,BRANCH,0.9702970297029703,101,98
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.9044585987261147,157,142
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.9722222222222222,72,70
org.apache.commons.cli2.Option,BRANCH,1.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.8846153846153846,78,69
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.6815286624203821,157,107
org.apache.commons.cli2.option.OptionImpl,BRANCH,0.851063829787234,47,40
org.apache.commons.cli.PosixParser,BRANCH,0.9111111111111111,45,41
org.apache.commons.cli.PosixParser,BRANCH,0.9090909090909091,44,40
org.apache.commons.cli.PosixParser,BRANCH,0.9318181818181818,44,41
org.apache.commons.cli.PosixParser,BRANCH,0.9,50,45
org.apache.commons.cli2.WriteableCommandLine,BRANCH,1.0,0,0
org.apache.commons.cli2.commandline.WriteableCommandLineImpl,BRANCH,0.8522727272727273,88,75
org.apache.commons.cli2.option.GroupImpl,BRANCH,0.7530864197530864,162,122
org.apache.commons.cli.PosixParser,BRANCH,0.9130434782608695,46,42
org.apache.commons.cli.HelpFormatter,BRANCH,0.9084507042253521,142,129
org.apache.commons.cli.HelpFormatter,BRANCH,0.9027777777777778,144,130
org.apache.commons.cli.HelpFormatter,BRANCH,0.8958333333333334,144,129
org.apache.commons.cli.OptionBuilder,BRANCH,1.0,21,21
org.apache.commons.cli.OptionGroup,BRANCH,1.0,19,19
org.apache.commons.cli.Parser,BRANCH,0.8051948051948052,77,62
org.apache.commons.cli.Util,BRANCH,1.0,15,15
org.apache.commons.cli.DefaultParser,BRANCH,0.4913294797687861,173,85
org.apache.commons.cli.Parser,BRANCH,0.6705882352941176,85,57
org.apache.commons.cli.HelpFormatter,BRANCH,0.8860759493670886,158,142
org.apache.commons.cli.Option,BRANCH,0.9910714285714286,112,111
org.apache.commons.cli.OptionBuilder,BRANCH,1.0,21,21
